Question,Answer
絶対値を取得する関数,dabs()
アークコサイン(逆余弦)を計算する関数,dacos()
アークサイン(逆正弦)を計算する関数,dasin()
アークタンジェント(逆正接)を計算する関数,datan()
アークタンジェント(逆正接)を計算する関数(2引数版),datan2()
引数以上の最小の整数を返す,dceil()
コサインを計算する関数,dcos()
指数関数を計算する関数,dexp()
引数以下の最大の整数を返す,dfloor()
自然対数を計算する関数,dlog()
引数の中から最大の値を返す関数,dmax()
引数の中から最小の値を返す関数,dmin()
指定された数の指数乗を計算する関数,dpow()
四捨五入した整数を返す関数,dround()
サインを計算する関数,dsin()
平方根を計算する関数,dsqrt()
タンジェントを計算する関数,dtan()
文字列の指定位置の文字を取得する関数,dcharAt()
文字列の指定位置の文字のUnicodeコードを取得する関数,dcharCodeAt()
文字列を連結する関数,dconcat()
Unicodeコードを文字に変換する関数,dfromCharCode()
文字列の長さを取得するプロパティ,dlength()
正規表現に一致する部分を検索する関数,dmatch()
文字列内の一致する部分を置換する関数,dreplace()
正規表現に一致する部分の位置を検索する関数,dsearch()
文字列の一部を取り出す関数,dslice()
文字列を指定の区切り文字で分割する関数,dsplit()
文字列の指定位置から指定長さ分の部分文字列を取得する関数,dsubstr()
文字列の指定範囲の部分文字列を取得する関数,dsubstring()
ロケールに基づいた文字列表現を取得する関数,dtoLocaleString()
文字列を大文字に変換する関数,dtoUpperCase()
文字列を小文字に変換する関数,dtoLowerCase()
文字列の両端から空白を取り除く関数,dtrim()
配列の各要素に対して指定された関数を実行するメソッド,dforEach()
配列の要素を条件に基づいてフィルタリングするメソッド,dfilter()
配列内で最初に見つかった要素を返すメソッド,dfind()
配列内で最初に見つかった要素のインデックスを返すメソッド,dfindIndex()
配列の各要素に対して指定された関数を適用し、新しい配列を作成するメソッド,dmap()
配列の各要素を順番に累積して単一の値を生成するメソッド,dreduce()
配列の各要素を逆順に累積して単一の値を生成するメソッド,dreduceRight()
配列の少なくとも一つの要素が指定条件を満たすかどうかを判定するメソッド,dsome()
配列のすべての要素が指定条件を満たすかどうかを判定するメソッド,devery()
配列が指定した要素を含んでいるかどうかを判定するメソッド,dincludes()
配列内で指定した要素が最初に現れる位置を検索するメソッド,dindexOf()
配列内で指定した要素が最後に現れる位置を検索するメソッド,dlastIndexOf()
配列の末尾に要素を追加するメソッド,dpush()
配列の末尾から要素を削除し、その要素を返すメソッド,dpop()
配列の先頭から要素を削除し、その要素を返すメソッド,dshift()
配列の先頭に要素を追加するメソッド,dunshift()
配列の指定位置から指定数の要素を削除し、新しい要素を追加するメソッド,dsplice()
配列をソートするメソッド,dsort()
配列の要素を逆順にするメソッド,dreverse()
オブジェクトが指定したプロパティを持っているかどうかを判定するメソッド,dhasOwnProperty()
オブジェクトが指定したオブジェクトのプロトタイプチェーン内にあるかどうかを判定するメソッド,disPrototypeOf()
オブジェクトが指定したプロパティを列挙可能なプロパティかどうかを判定するメソッド,dpropertyIsEnumerable()
正規表現に対して文字列を検索し、一致する結果を返すメソッド,dexec()
正規表現が文字列と一致するかどうかを調べ、結果をブール値で返すメソッド,dtest()
日付と時間を表すオブジェクトを生成するコンストラクタ,dDate()
現在の日時をミリ秒単位で返すメソッド,dnow()
日付部分を表す文字列を返すメソッド,dtoDateString()
ロケールに基づいた日付部分を表す文字列を返すメソッド,dtoLocaleDateString()
ロケールに基づいた時間部分を表す文字列を返すメソッド,dtoLocaleTimeString()
時間部分を表す文字列を返すメソッド,dtoTimeString()
日付オブジェクトのプリミティブな値を返すメソッド,dvalueOf()
Promiseインスタンスのリストが全て完了した場合に、それらの結果で解決されるPromiseを返すメソッド,dall()
Promiseチェーンのエラーハンドリングを行うためのメソッド,dcatch()
Promiseチェーンが完了した際に、成功または失敗にかかわらず実行されるコードを指定するメソッド,dfinally()
複数のPromiseインスタンスの中から最初に完了したものの結果で解決されるPromiseを返すメソッド,drace()
指定された理由で拒否されたPromiseを生成するメソッド,dreject()
指定された値で解決されたPromiseを生成するメソッド,dresolve()
Promiseチェーンにおいて、成功した場合と失敗した場合に実行されるコールバック関数を指定するメソッド,dthen()
setTimeoutをPromiseでラップして非同期待機を行う関数の一例,dwait()
イテレータプロトコルに従うオブジェクトにおいて、次のイテレータ結果を返すメソッド,dnext()
イテレータプロトコルに従うオブジェクトにおいて、例外を投げるメソッド,dthrow()
イテレータプロトコルに従うオブジェクトにおいて、イテレータを終了させるメソッド,dreturn()
配列オブジェクトを生成するコンストラクタ関数,dArray()
真偽値を表すオブジェクトを生成するコンストラクタ関数,dBoolean()
エラーオブジェクトを生成するコンストラクタ関数,dError()
関数オブジェクトを生成するコンストラクタ関数,dFunction()
数値を表すオブジェクトを生成するコンストラクタ関数,dNumber()
オブジェクトを生成するコンストラクタ関数,dObject()
正規表現オブジェクトを生成するコンストラクタ関数,dRegExp()
文字列を表すオブジェクトを生成するコンストラクタ関数,dString()